70	19	223	1980
70	19	1071	1980
70	19	1071	1980
1166	10	1167	1980
1166	10	1167	1980
1203	11	298	1980
2169	1	2170	1980
2521	14	2522	1980
2521	14	2522	1980
3214	37	3215	1980
3546	12	3547	1980
4065	9	4066	1980
2169	1	2170	1980
1048	29	5539	1980
1048	29	5539	1980
4014	19	5558	1980
40	14	5637	1980
5858	9	5859	1980
1125	19	6140	1980
478	14	6679	1980
7106	0	7107	1980
7106	0	7107	1980
7266	19	7267	1980
7325	11	7326	1980
7325	11	7326	1980
7630	9	6410	1980
8414	22	8415	1980
8433	9	8434	1980
8822	19	8823	1980
40	14	9086	1980
40	14	9086	1980
9628	11	9629	1980
9877	22	9878	1980
7645	19	10079	1980
7645	19	10079	1980
5132	22	10514	1980
10597	22	10598	1980
70	19	10642	1980
70	19	10642	1980
11078	9	11079	1980
11125	9	11126	1980
11125	9	11126	1980
7802	9	11424	1980
7802	9	11424	1980
11689	0	2622	1980
70	19	223	1981
515	9	516	1981
1015	9	1016	1981
1044	9	1045	1981
1203	11	298	1981
2082	9	2083	1981
2169	1	2170	1981
2699	9	1415	1981
2343	22	2834	1981
3210	9	3211	1981
3214	37	3215	1981
3546	12	3547	1981
3930	9	3931	1981
4065	9	4066	1981
4380	9	4381	1981
2169	1	2170	1981
5294	13	5295	1981
5428	11	5429	1981
4014	19	5558	1981
40	14	5637	1981
5858	9	5859	1981
5876	19	5877	1981
5936	0	5937	1981
1125	19	6140	1981
40	14	6169	1981
478	14	6679	1981
40	14	6950	1981
7266	19	7267	1981
7548	4	7549	1981
7630	9	6410	1981
40	14	7691	1981
788	12	7692	1981
275	19	7787	1981
8211	19	8212	1981
2797	12	8372	1981
8414	22	8415	1981
8433	9	8434	1981
8445	22	8446	1981
8822	19	8823	1981
8962	1	8963	1981
9043	9	9044	1981
9628	11	9629	1981
9877	22	9878	1981
5132	22	10514	1981
10540	9	10541	1981
10597	22	10598	1981
2967	0	10604	1981
40	14	10805	1981
5603	0	10977	1981
11078	9	11079	1981
5561	19	11130	1981
11630	9	11631	1981
11689	0	2622	1981
535	9	11805	1981
313	2	314	1982
515	9	516	1982
568	1	569	1982
1013	9	1014	1982
1015	9	1016	1982
1054	22	1055	1982
1474	22	1475	1982
1584	0	1585	1982
1612	9	1613	1982
1680	9	1681	1982
40	14	1761	1982
2082	9	2083	1982
2699	9	1415	1982
2343	22	2834	1982
478	14	3168	1982
3210	9	3211	1982
3597	0	3598	1982
70	19	3759	1982
1203	11	3796	1982
3930	9	3931	1982
517	0	4255	1982
4380	9	4381	1982
4405	22	4406	1982
4728	0	4729	1982
5274	9	5275	1982
5294	13	5295	1982
5428	11	5429	1982
5528	9	5529	1982
5876	19	5877	1982
5954	0	5955	1982
40	14	6169	1982
6367	9	6368	1982
1157	19	6593	1982
6696	4	6697	1982
6943	9	6944	1982
6945	9	6946	1982
40	14	6950	1982
7548	4	7549	1982
40	14	7691	1982
788	12	7692	1982
275	19	7787	1982
7645	19	7971	1982
70	19	7981	1982
40	14	8035	1982
8211	19	8212	1982
2797	12	8372	1982
8445	22	8446	1982
8962	1	8963	1982
9009	11	9010	1982
9043	9	9044	1982
5561	19	9338	1982
9712	9	9713	1982
40	14	10004	1982
3020	9	7367	1982
10540	9	10541	1982
2967	0	10604	1982
10736	7	10737	1982
70	19	10782	1982
40	14	10805	1982
5603	0	10977	1982
5561	19	11130	1982
70	19	11325	1982
11630	9	11631	1982
11710	9	2490	1982
1134	19	11759	1982
535	9	11805	1982
170	0	171	1983
313	2	314	1983
40	14	394	1983
512	11	513	1983
568	1	569	1983
1013	9	1014	1983
1054	22	1055	1983
1325	19	1326	1983
1474	22	1475	1983
1584	0	1585	1983
1612	9	1613	1983
1680	9	1681	1983
40	14	1761	1983
1875	22	1876	1983
1886	31	1887	1983
1408	0	1934	1983
2183	0	2184	1983
70	9	2766	1983
478	14	3168	1983
3597	0	3598	1983
70	19	3759	1983
1203	11	3796	1983
293	9	3857	1983
40	14	4109	1983
517	0	4255	1983
4405	22	4406	1983
4728	0	4729	1983
4752	9	4753	1983
70	19	4876	1983
5274	9	5275	1983
5528	9	5529	1983
5593	4	5594	1983
40	14	5867	1983
5954	0	5955	1983
6367	9	6368	1983
40	14	6412	1983
40	14	6480	1983
1157	19	6593	1983
6696	4	6697	1983
70	19	6785	1983
6943	9	6944	1983
6945	9	6946	1983
1325	19	1326	1983
70	19	6994	1983
5463	19	7050	1983
7305	11	3796	1983
7645	19	7971	1983
70	19	7981	1983
40	14	8035	1983
339	22	8340	1983
8511	22	8512	1983
8801	9	421	1983
8892	0	8893	1983
9009	11	9010	1983
9216	0	9217	1983
5561	19	9338	1983
9701	9	9702	1983
9904	9	9905	1983
9981	9	5997	1983
40	14	10004	1983
1379	19	10019	1983
3020	9	7367	1983
6336	1	10460	1983
10520	22	10521	1983
10557	9	10558	1983
10736	7	10737	1983
70	19	10782	1983
11114	0	11115	1983
70	19	11194	1983
70	19	11325	1983
8452	29	8453	1983
11710	9	2490	1983
1134	19	11759	1983
170	0	171	1984
174	9	175	1984
40	14	394	1984
411	0	412	1984
512	11	513	1984
40	14	792	1984
1100	9	1101	1984
1303	0	1304	1984
1325	19	1326	1984
1542	2	1543	1984
1729	4	1730	1984
1768	0	1769	1984
1875	22	1876	1984
1886	31	1887	1984
1888	20	1889	1984
1892	19	1893	1984
275	19	1907	1984
1408	0	1934	1984
2183	0	2184	1984
2380	19	2381	1984
2324	11	677	1984
70	19	2734	1984
70	9	2766	1984
2967	0	2968	1984
152	14	3193	1984
2127	11	3297	1984
40	14	3483	1984
4059	17	4060	1984
40	14	4109	1984
625	11	4478	1984
40	14	4503	1984
40	14	4624	1984
4654	22	4655	1984
517	0	4671	1984
4752	9	4753	1984
4826	9	4827	1984
70	19	4876	1984
70	19	5062	1984
997	14	5107	1984
5593	4	5594	1984
3920	31	513	1984
415	19	5778	1984
40	14	5867	1984
40	14	6412	1984
40	14	6480	1984
70	19	6785	1984
415	19	6797	1984
6918	2	618	1984
1325	19	1326	1984
70	19	6994	1984
3844	17	7044	1984
5463	19	7050	1984
40	14	7714	1984
40	14	7775	1984
40	14	6480	1984
8032	9	5107	1984
1949	9	8183	1984
339	22	8340	1984
1294	19	8416	1984
834	22	8465	1984
8511	22	8512	1984
70	19	8760	1984
8892	0	8893	1984
9216	0	9217	1984
